Date,Not indexed,Indexed,Impressions
2026-03-28,10182,724,135
2026-03-29,10272,634,157
2026-03-30,10272,634,102
2026-03-31,10272,634,82
2026-04-01,10279,627,107
2026-04-02,10279,627,171
2026-04-03,10279,627,85
2026-04-04,10279,627,99
2026-04-05,10286,620,116
2026-04-06,10286,620,98
2026-04-07,10311,595,68
2026-04-08,10311,595,106
2026-04-09,10311,595,138
2026-04-10,10311,595,48
2026-04-11,10315,590,47
2026-04-12,10315,590,95
2026-04-13,10315,590,47
2026-04-14,10347,558,62
2026-04-15,10347,558,47
2026-04-16,10347,558,129
2026-04-17,10347,558,56
2026-04-18,10366,538,33
2026-04-19,10366,538,66
2026-04-20,10366,538,42
2026-04-21,10493,411,33
2026-04-22,10493,411,37
2026-04-23,10493,411,85
2026-04-24,10493,411,75
2026-04-25,10582,320,21
2026-04-26,10582,320,21
2026-04-27,10582,320,17
2026-04-28,10752,147,19
2026-04-29,10752,147,12
2026-04-30,10752,147,13
2026-05-01,10752,147,7
2026-05-02,10864,34,13
2026-05-03,10864,34,10
2026-05-04,10864,34,13
2026-05-05,10872,23,9
2026-05-06,10872,23,17
2026-05-07,10872,23,12
2026-05-08,10872,23,12
2026-05-09,10869,22,27
2026-05-10,10869,22,11
2026-05-11,10869,22,10
2026-05-12,10873,15,22
2026-05-13,10873,15,12
2026-05-14,10873,15,18
2026-05-15,10873,15,22
2026-05-16,10871,17,16
2026-05-17,10871,17,11
2026-05-18,10871,17,25
2026-05-19,10869,16,11
2026-05-20,10869,16,14
2026-05-21,10869,16,11
2026-05-22,10869,16,13
2026-05-23,10866,15,9
2026-05-24,10866,15,15
2026-05-25,10866,15,6
2026-05-26,10865,12,20
2026-05-27,10865,12,19
2026-05-28,10865,12,15
2026-05-29,10865,12,23
2026-05-30,10862,7,10
2026-05-31,10862,7,10
2026-06-01,10862,7,13
2026-06-02,10861,6,11
2026-06-03,10861,6,13
2026-06-04,10861,6,9
2026-06-05,10861,6,20
2026-06-06,10850,6,14
2026-06-07,10850,6,12
2026-06-08,10850,6,10
2026-06-09,10859,6,15
2026-06-10,10859,6,18
2026-06-11,10859,6,12
2026-06-12,10859,6,16